Dimensión_ID,Dimensión,Subdimensión_ID,Subdimensión,Multidisciplina_ID,Multidisciplina,Questão_ID,Questão,Elemento_ID,Elemento_Descrição,Tipo_Elemento,Nível,Puntuación,Tipo_Respuesta,Instrucciones
I,Dimensão Recursos institucionais,I.a,Talento humano,,,1,"Em relação ao último Plano Anual de Capacitação, de onde surgiram principalmente os assuntos que exigiam capacitação? Marque todas as opções correspondentes.",1,"Em relação ao último Plano Anual de Capacitação, de onde surgiram principalmente os assuntos que exigiam capacitação? Marque todas as opções correspondentes.",Questão,4,,Resposta múltipla,Marque todas as opções correspondentes.
I,Dimensão Recursos institucionais,I.a,Talento humano,,,0,"Se marcar esta opção, não é possível assinalar as demais.",0,"Se marcar esta opção, não é possível assinalar as demais.",Questão,4,0.85,,
I,Dimensão Recursos institucionais,I.a,Talento humano,,,0,"Redes internas de colaboração Durante o período medido, existiram na instituição instâncias de trabalho colaborativo sistemático entre duas ou mais áreas funcionais para o desenvolvimento da inovação? pontuação máxima",0,"Redes internas de colaboração Durante o período medido, existiram na instituição instâncias de trabalho colaborativo sistemático entre duas ou mais áreas funcionais para o desenvolvimento da inovação? pontuação máxima",Questão,4,2.0,Resposta única,Use as informações do período medido (1/06/2024 a 31/05/2025).
I,Dimensão Recursos institucionais,I.b,Marco institucional,,,,,I.b,Marco institucional,Subdimensão,2,,,
I,Dimensão Recursos institucionais,I.b,Marco institucional,,,8,RECURSOS INSTITUCIONAIS,8,RECURSOS INSTITUCIONAIS,Questão,4,0.85,,
I,Dimensão Recursos institucionais,I.b,Marco institucional,,,0.75,Quais eram os objetivos dessas instâncias de colaboração interna? Marque todas as opções correspondentes.,0.75,Quais eram os objetivos dessas instâncias de colaboração interna? Marque todas as opções correspondentes.,Questão,4,,Resposta múltipla,Marque todas as opções correspondentes.
I,Dimensão Recursos institucionais,I.b,Marco institucional,,,0.1,"Durante o período medido, a instituição utilizou plataformas que permitiam o trabalho colaborativo on-line?",0.1,"Durante o período medido, a instituição utilizou plataformas que permitiam o trabalho colaborativo on-line?",Questão,4,,Resposta única,Use as informações do período medido (1/06/2024 a 31/05/2025).
I,Dimensão Recursos institucionais,I.b,Marco institucional,,,0,Selecione as plataformas que a instituição utilizou com maior frequência para o trabalho colaborativo. Marque todas as opções correspondentes.,0,Selecione as plataformas que a instituição utilizou com maior frequência para o trabalho colaborativo. Marque todas as opções correspondentes.,Questão,4,,,
I,Dimensão Recursos institucionais,I.b,Marco institucional,,,9,RECURSOS INSTITUCIONAIS,9,RECURSOS INSTITUCIONAIS,Questão,4,0.0,,
I,Dimensão Recursos institucionais,I.b,Marco institucional,,,0,pontuação máxima,0,pontuação máxima,Questão,4,,,
I,Dimensão Recursos institucionais,I.b,Marco institucional,,,7,"Durante o período medido, quais dos seguintes mecanismos ou ações institucionais sua instituição utilizou para promover a inovação entre suas funcionárias e funcionários? Marque todas as opções correspondentes. A. Prêmios ou reconhecimentos a equipes ou pessoas por iniciativas inovadoras. B. Fundos ou orçamentos internos para desenvolver iniciativas de inovação. C. Chamadas internas abertas para participar de projetos de inovação. D. Canais institucionais para compartilhar aprendizados ou experiências de inovação (intranet, boletins, jornadas etc.). E. Espaços ou metodologias participativas para propor melhorias ou soluções (ex.: caixa de ideias, laboratórios, oficinas).",7,"Durante o período medido, quais dos seguintes mecanismos ou ações institucionais sua instituição utilizou para promover a inovação entre suas funcionárias e funcionários? Marque todas as opções correspondentes. A. Prêmios ou reconhecimentos a equipes ou pessoas por iniciativas inovadoras. B. Fundos ou orçamentos internos para desenvolver iniciativas de inovação. C. Chamadas internas abertas para participar de projetos de inovação. D. Canais institucionais para compartilhar aprendizados ou experiências de inovação (intranet, boletins, jornadas etc.). E. Espaços ou metodologias participativas para propor melhorias ou soluções (ex.: caixa de ideias, laboratórios, oficinas).",Questão,4,,Resposta múltipla,Use as informações do período medido (1/06/2024 a 31/05/2025). Marque todas as opções correspondentes.
I,Dimensão Recursos institucionais,I.b,Marco institucional,,,0,"Durante o período medido, a instituição publicou dados abertos? pontuação máxima",0,"Durante o período medido, a instituição publicou dados abertos? pontuação máxima",Questão,4,,Resposta única,Use as informações do período medido (1/06/2024 a 31/05/2025).
I,Dimensão Recursos institucionais,I.b,Marco institucional,,,0,Marque todas as opções correspondentes. Marque todas as opções correspondentes.,0,Marque todas as opções correspondentes. Marque todas as opções correspondentes.,Questão,4,,Resposta única,
I,Dimensão Recursos institucionais,I.b,Marco institucional,,,8.2,Essas publicações de dados abertos foram realizadas em portal próprio ou no dados.gob.cl? Em quais formatos esses dados abertos foram publicados?,8.2,Essas publicações de dados abertos foram realizadas em portal próprio ou no dados.gob.cl? Em quais formatos esses dados abertos foram publicados?,Questão,4,1.15,Resposta única,Responda conforme o enunciado oficial do questionário.
I,Dimensão Recursos institucionais,I.b,Marco institucional,,,10,RECURSOS INSTITUCIONAIS,10,RECURSOS INSTITUCIONAIS,Questão,4,,,
I,Dimensão Recursos institucionais,I.b,Marco institucional,,,8.3,"Durante o período medido, existiu na instituição uma área responsável pela gestão de dados abertos?",8.3,"Durante o período medido, existiu na instituição uma área responsável pela gestão de dados abertos?",Questão,4,,Resposta única,Use as informações do período medido (1/06/2024 a 31/05/2025).
I,Dimensão Recursos institucionais,I.b,Marco institucional,,,8.4,"Durante o período medido, a instituição realizou ações para se comunicar e receber feedback das pessoas ou organizações que utilizaram seus dados abertos?",8.4,"Durante o período medido, a instituição realizou ações para se comunicar e receber feedback das pessoas ou organizações que utilizaram seus dados abertos?",Questão,4,,Resposta única,Use as informações do período medido (1/06/2024 a 31/05/2025).
I,Dimensão Recursos institucionais,I.b,Marco institucional,,,0,A. Sim B. Não,0,A. Sim B. Não,Questão,4,1.15,,
I,Dimensão Recursos institucionais,I.c,Recursos digitais,,,,,I.c,Recursos digitais,Subdimensão,2,,,
I,Dimensão Recursos institucionais,I.c,Recursos digitais,,,0.38,"Durante o período medido, a instituição trabalhava com pelo menos uma tecnologia “Open Source” ou “Código Aberto”? Durante o período medido, a instituição tinha ClaveÚnica como mecanismo de autenticação utilizado pelas pessoas para acessar serviços em quaisquer de seus meios ou canais de atendimento? pontuação máxima",0.38,"Durante o período medido, a instituição trabalhava com pelo menos uma tecnologia “Open Source” ou “Código Aberto”? Durante o período medido, a instituição tinha ClaveÚnica como mecanismo de autenticação utilizado pelas pessoas para acessar serviços em quaisquer de seus meios ou canais de atendimento? pontuação máxima",Questão,4,,Resposta única,Use as informações do período medido (1/06/2024 a 31/05/2025).
I,Dimensão Recursos institucionais,I.c,Recursos digitais,,,0.4,"Durante o período medido, a instituição tinha identificados seus ativos de informação?",0.4,"Durante o período medido, a instituição tinha identificados seus ativos de informação?",Questão,4,,Resposta única,Use as informações do período medido (1/06/2024 a 31/05/2025).
I,Dimensão Recursos institucionais,I.c,Recursos digitais,,,11,"RECURSOS INSTITUCIONAIS Se marcar esta opção, não é possível assinalar as demais.",11,"RECURSOS INSTITUCIONAIS Se marcar esta opção, não é possível assinalar as demais.",Questão,4,2.55,,
I,Dimensão Recursos institucionais,I.c,Recursos digitais,,,0,pontuação máxima,0,pontuação máxima,Questão,4,,,
I,Dimensão Recursos institucionais,I.c,Recursos digitais,,,11B,"Quantidade de sistemas que possuem considerando gestão de pessoas, gestão de clientes/usuários (CRM), digitalização de processos (BPMS) e ofimática. Quantas das ferramentas indicadas acima eram fornecidas pela instituição a partir de hospedagem própria ou mista?",11B,"Quantidade de sistemas que possuem considerando gestão de pessoas, gestão de clientes/usuários (CRM), digitalização de processos (BPMS) e ofimática. Quantas das ferramentas indicadas acima eram fornecidas pela instituição a partir de hospedagem própria ou mista?",Questão,4,,Resposta numérica,Informe um valor numérico sem pontos ou símbolos (apenas dígitos). Indique a quantidade solicitada como número inteiro.
I,Dimensão Recursos institucionais,I.c,Recursos digitais,,,11,"Durante o período medido, sua instituição contou com um software especializado para apoiar alguma das seguintes funções? Marque todas as opções correspondentes. A. Gestão documental. B. Gestão de inventário e ativos fixos. C. Gestão de pessoas (assiduidade, licenças, remunerações). D. Gestão financeira (arrecadação/tesouraria/contabilidade). E. Gestão de compras e aquisições. F. Gestão de clientes/usuários (CRM). G. Digitalização de processos (BPMS). H. Ofimática (processador de texto, planilha etc.).",11,"Durante o período medido, sua instituição contou com um software especializado para apoiar alguma das seguintes funções? Marque todas as opções correspondentes. A. Gestão documental. B. Gestão de inventário e ativos fixos. C. Gestão de pessoas (assiduidade, licenças, remunerações). D. Gestão financeira (arrecadação/tesouraria/contabilidade). E. Gestão de compras e aquisições. F. Gestão de clientes/usuários (CRM). G. Digitalização de processos (BPMS). H. Ofimática (processador de texto, planilha etc.).",Questão,4,,Resposta múltipla,Use as informações do período medido (1/06/2024 a 31/05/2025). Marque todas as opções correspondentes.
I,Repositório documental.,,,,,,,I,Repositório documental.,Dimensão,1,,,
I,Dimensão Recursos institucionais,I.c,Recursos digitais,,,12,"RECURSOS INSTITUCIONAIS Se marcar esta opção, não é possível assinalar as demais.",12,"RECURSOS INSTITUCIONAIS Se marcar esta opção, não é possível assinalar as demais.",Questão,4,2.55,,
I,Dimensão Recursos institucionais,I.c,Recursos digitais,,,12,Quais dos seguintes lineamentos e/ou políticas são utilizados na sua instituição? Marque todas as opções correspondentes. A. Política de Segurança da Informação. B. Política de Cibersegurança. C. Processos associados à Segurança da Informação. D. Processos associados à Cibersegurança. E. Procedimentos associados à Segurança da Informação. F. Procedimentos associados à Cibersegurança. G. Plano de continuidade de negócios (BCP) para seus processos e produtos estratégicos. H. Plano de recuperação de desastres (DRP) para seus processos e produtos estratégicos.,12,Quais dos seguintes lineamentos e/ou políticas são utilizados na sua instituição? Marque todas as opções correspondentes. A. Política de Segurança da Informação. B. Política de Cibersegurança. C. Processos associados à Segurança da Informação. D. Processos associados à Cibersegurança. E. Procedimentos associados à Segurança da Informação. F. Procedimentos associados à Cibersegurança. G. Plano de continuidade de negócios (BCP) para seus processos e produtos estratégicos. H. Plano de recuperação de desastres (DRP) para seus processos e produtos estratégicos.,Questão,4,,Resposta múltipla,Marque todas as opções correspondentes.
I,Nenhum dos anteriores.,,,,,,,I,Nenhum dos anteriores.,Dimensão,1,,,
I,Dimensão Recursos institucionais,I.c,Recursos digitais,,,13,"Durante o período medido, a instituição contava com um plano de ação e/ou estratégia de transformação digital preparada para a aplicação da Lei de Transformação Digital (LDT)?",13,"Durante o período medido, a instituição contava com um plano de ação e/ou estratégia de transformação digital preparada para a aplicação da Lei de Transformação Digital (LDT)?",Questão,4,,Resposta única,Use as informações do período medido (1/06/2024 a 31/05/2025).
I,Dimensão Recursos institucionais,I.c,Recursos digitais,,,13,RECURSOS INSTITUCIONAIS,13,RECURSOS INSTITUCIONAIS,Questão,4,1.45,,
I,Dimensão Recursos institucionais,I.c,Recursos digitais,,,0.20,"Marque todas as opções correspondentes. Quais são os eixos de trabalho da estratégia de transformação digital nos quais a instituição trabalhou durante o período medido? A. Identificação de procedimentos administrativos e trâmites. B. Envio e recepção de comunicações oficiais. C. Gestão documental: documentos e expediente eletrônico. D. Interoperabilidade: intercâmbio de dados e informação entre instituições. E. Autenticação: ClaveÚnica e/ou chave tributária. F. Qualidade das plataformas eletrônicas: catálogo, plano de melhoria etc. G. Segurança da informação e cibersegurança das plataformas. H. Redesenho e digitalização de procedimentos administrativos.",0.20,"Marque todas as opções correspondentes. Quais são os eixos de trabalho da estratégia de transformação digital nos quais a instituição trabalhou durante o período medido? A. Identificação de procedimentos administrativos e trâmites. B. Envio e recepção de comunicações oficiais. C. Gestão documental: documentos e expediente eletrônico. D. Interoperabilidade: intercâmbio de dados e informação entre instituições. E. Autenticação: ClaveÚnica e/ou chave tributária. F. Qualidade das plataformas eletrônicas: catálogo, plano de melhoria etc. G. Segurança da informação e cibersegurança das plataformas. H. Redesenho e digitalização de procedimentos administrativos.",Questão,4,,Resposta múltipla,Use as informações do período medido (1/06/2024 a 31/05/2025). Marque todas as opções correspondentes.
I,Notificações eletrônicas.,,,,,,,I,Notificações eletrônicas.,Dimensão,1,,,
I,Dimensão Recursos institucionais,I.c,Recursos digitais,,,0.35,Qual porcentagem de procedimentos administrativos em suporte eletrônico foi reportada pela instituição no Catálogo de Procedimentos Administrativos e outras Tramitações (CPAT) em 31 de maio de 2025?,0.35,Qual porcentagem de procedimentos administrativos em suporte eletrônico foi reportada pela instituição no Catálogo de Procedimentos Administrativos e outras Tramitações (CPAT) em 31 de maio de 2025?,Questão,4,,Resposta numérica,Informe um valor numérico sem pontos ou símbolos (apenas dígitos).
I,Dimensão Recursos institucionais,I.c,Recursos digitais,,,0.15,"Marque todas as opções correspondentes. Durante o período medido, quais atividades a instituição realizava habitualmente para o desenho e/ou desenvolvimento de seus serviços digitais? A. Auditorias de acessibilidade. B. Pesquisa qualitativa (por exemplo, entrevistas, focus groups). C. Pesquisa quantitativa (por exemplo, utilizando ferramentas de análise web, como Google Analytics). D. Geração de protótipos e testes. E. Testes de usabilidade. F. Outra(s). Especifique: G. Nenhuma das anteriores.",0.15,"Marque todas as opções correspondentes. Durante o período medido, quais atividades a instituição realizava habitualmente para o desenho e/ou desenvolvimento de seus serviços digitais? A. Auditorias de acessibilidade. B. Pesquisa qualitativa (por exemplo, entrevistas, focus groups). C. Pesquisa quantitativa (por exemplo, utilizando ferramentas de análise web, como Google Analytics). D. Geração de protótipos e testes. E. Testes de usabilidade. F. Outra(s). Especifique: G. Nenhuma das anteriores.",Questão,4,,Resposta múltipla,"Use as informações do período medido (1/06/2024 a 31/05/2025). Marque todas as opções correspondentes. Se selecionar ""Nenhuma das anteriores"" não deve marcar outras alternativas."
I,Dimensão Recursos institucionais,I.c,Recursos digitais,,,0,--- PÁGINA 14 ---,0,--- PÁGINA 14 ---,Questão,4,,,
I,Dimensão Recursos institucionais,I.c,Recursos digitais,,,14,RECURSOS INSTITUCIONAIS,14,RECURSOS INSTITUCIONAIS,Questão,4,1.45,,
I,Dimensão Recursos institucionais,I.c,Recursos digitais,,,15,"Durante o período medido, a instituição realizou medições de satisfação dos usuários de seus serviços digitais?",15,"Durante o período medido, a instituição realizou medições de satisfação dos usuários de seus serviços digitais?",Questão,4,,Resposta única,Use as informações do período medido (1/06/2024 a 31/05/2025).
I,Dimensão Recursos institucionais,I.c,Recursos digitais,,,0.35,"Marque todas as opções correspondentes. Para que a instituição utiliza a informação obtida das medições de satisfação usuária? A. Desenho de novos serviços. B. Melhoria contínua. C. Relato para outras áreas da instituição. D. Análise de demanda (por exemplo, para identificar necessidades não atendidas, lacunas de cobertura ou priorizar serviços conforme os resultados de satisfação). E. Outro. Especifique:",0.35,"Marque todas as opções correspondentes. Para que a instituição utiliza a informação obtida das medições de satisfação usuária? A. Desenho de novos serviços. B. Melhoria contínua. C. Relato para outras áreas da instituição. D. Análise de demanda (por exemplo, para identificar necessidades não atendidas, lacunas de cobertura ou priorizar serviços conforme os resultados de satisfação). E. Outro. Especifique:",Questão,4,,Resposta múltipla,Marque todas as opções correspondentes.
I,Dimensão Recursos institucionais,I.c,Recursos digitais,,,0.07,--- PÁGINA 15 ---,0.07,--- PÁGINA 15 ---,Questão,4,,,
I,Dimensão Recursos institucionais,I.c,Recursos digitais,,,15,RECURSOS INSTITUCIONAIS pontuação máxima,15,RECURSOS INSTITUCIONAIS pontuação máxima,Questão,4,,,
I,Dimensão Recursos institucionais,I.c,Recursos digitais,,,17,"Durante o período medido, existia uma governança institucional dedicada especificamente a desenvolver ou gerir inovação dentro da instituição?",17,"Durante o período medido, existia uma governança institucional dedicada especificamente a desenvolver ou gerir inovação dentro da instituição?",Questão,4,1.0,Resposta única,"Sim = 1; Não = 0. Se responder ""Sim"", complete 17.1, 17.2, 17.3 e 17.A."
I,Dimensão Recursos institucionais,I.d,Estratégia e governança,,,,,I.d,Estratégia e governança,Subdimensão,2,,,
I,Dimensão Recursos institucionais,I.d,Estratégia e governança,,,0,"Marque todas as opções correspondentes. A. Assistentes virtuais ou chatbots baseados em IA para interagir com pessoas usuárias. B. Processamento automatizado de texto ou dados por IA. C. Automação de processos com decisões inteligentes. D. Modelos preditivos ou de classificação para antecipar decisões institucionais. E. Detecção automatizada de fraudes, inconsistências ou anomalias. F. Algoritmos de recomendação de serviços para pessoas usuárias. G. Outro(s). Qual(is)? H. Não utilizou ferramentas de IA durante este período. Se marcar esta opção, não é possível assinalar as demais.",0,"Marque todas as opções correspondentes. A. Assistentes virtuais ou chatbots baseados em IA para interagir com pessoas usuárias. B. Processamento automatizado de texto ou dados por IA. C. Automação de processos com decisões inteligentes. D. Modelos preditivos ou de classificação para antecipar decisões institucionais. E. Detecção automatizada de fraudes, inconsistências ou anomalias. F. Algoritmos de recomendação de serviços para pessoas usuárias. G. Outro(s). Qual(is)? H. Não utilizou ferramentas de IA durante este período. Se marcar esta opção, não é possível assinalar as demais.",Questão,4,0.0,Resposta múltipla,"Marque todas as opções correspondentes. Se selecionar ""Nenhuma das anteriores"" não deve marcar outras alternativas. Anexe a Informação Adicional Necessária (IAN) que respalde a resposta."
I,Dimensão Recursos institucionais,I.d,Estratégia e governança,,,17.1,Qual dos seguintes tipos de governança para a inovação estava vigente na instituição nesse período?,17.1,Qual dos seguintes tipos de governança para a inovação estava vigente na instituição nesse período?,Questão,4,,Resposta única,"Responda apenas se 17 = ""Sim""."
I,Dimensão Recursos institucionais,I.d,Estratégia e governança,,,16,RECURSOS INSTITUCIONAIS,16,RECURSOS INSTITUCIONAIS,Questão,4,,,
I,Dimensão Recursos institucionais,I.d,Estratégia e governança,,,0,De qual subdireção/subdepartamento/departamento dependia a governança mencionada?,0,De qual subdireção/subdepartamento/departamento dependia a governança mencionada?,Questão,4,3.0,Texto livre,"Avaliação qualitativa (máx. 3 pontos). Responda apenas se 17 = ""Sim"" e se declarou um tipo de governança na 17.1."
I,Dimensão Recursos institucionais,I.d,Estratégia e governança,,,17A,Qual é o orçamento disponível para a governança de inovação durante o ano de 2025? A dependência da governança à qual se faz referência era transversal?,17A,Qual é o orçamento disponível para a governança de inovação durante o ano de 2025? A dependência da governança à qual se faz referência era transversal?,Questão,4,,Resposta numérica,"Valor numérico na moeda local. Responda apenas se 17 = ""Sim"". É utilizado junto com 17.B para estimar a proporção do orçamento destinada à governança."
I,Dimensão Recursos institucionais,I.d,Estratégia e governança,,,17B,Qual é o orçamento inicial total da instituição para o ano de 2025?,17B,Qual é o orçamento inicial total da instituição para o ano de 2025?,Questão,4,17.2,Resposta numérica,"Responda apenas se 17 = ""Sim"". Complementa 17.A para calcular o percentual do orçamento dedicado à governança."
I,Dimensão Recursos institucionais,I.d,Estratégia e governança,,,0,"O formulário A1 da instituição vigente durante o período medido, especificamente na seção de Objetivos Estratégicos Institucionais, contém algum objetivo relacionado com inovação? Durante o período medido, a instituição contou com alguma estratégia ou plano de ação relacionado com inovação pública? A IAN corresponde ao formulário A1 ou, em seu defeito, à declaração de contas públicas.",0,"O formulário A1 da instituição vigente durante o período medido, especificamente na seção de Objetivos Estratégicos Institucionais, contém algum objetivo relacionado com inovação? Durante o período medido, a instituição contou com alguma estratégia ou plano de ação relacionado com inovação pública? A IAN corresponde ao formulário A1 ou, em seu defeito, à declaração de contas públicas.",Questão,4,,Resposta única,Inclui duas perguntas (objetivo no formulário A1 e estratégia/plano de inovação). IAN obrigatório: anexar o formulário A1 ou a declaração de contas públicas.
I,Dimensão Recursos institucionais,I.d,Estratégia e governança,,,0,Informação adicional necessária Informação adicional necessária --- PÁGINA 17 ---,0,Informação adicional necessária Informação adicional necessária --- PÁGINA 17 ---,Questão,4,,,
I,Dimensão Recursos institucionais,I.d,Estratégia e governança,,,17,PRÁTICAS E PROCESSOS,17,PRÁTICAS E PROCESSOS,Questão,4,14.0,,
II,Dimensão Práticas e Processos,,,,,,,II,Dimensão Práticas e Processos,Dimensão,1,,,
II,Dimensão Práticas e Processos,II.a,Capacidade-chave Atividades ou práticas,,,,,II.a,Capacidade-chave Atividades ou práticas,Subdimensão,2,,,
II,Dimensão Práticas e Processos,II.a,Capacidade-chave Atividades ou práticas,,,0,"Variáveis base pontuação máxima Durante o período medido, quantas iniciativas de inovação pública a instituição desenvolveu? Indique o nome de cada iniciativa: o período considerado é de 1º de junho de 2024 a 31 de maio de 2025. Máximo de 100 caracteres. A. Nenhuma B. 1 C. 2 D. 3 E. 4 F. 5",0,"Variáveis base pontuação máxima Durante o período medido, quantas iniciativas de inovação pública a instituição desenvolveu? Indique o nome de cada iniciativa: o período considerado é de 1º de junho de 2024 a 31 de maio de 2025. Máximo de 100 caracteres. A. Nenhuma B. 1 C. 2 D. 3 E. 4 F. 5",Questão,4,,Resposta única + texto,Selecione a quantidade de iniciativas (A-F) e escreva o nome de cada uma (máx. 100 caracteres). Período medido: 1/06/2024 a 31/05/2025. Pontuação calculada de forma relativa conforme a categoria da entidade.
I,8,,,,,,,I,8,Dimensão,1,,,
I,Dimensão Recursos institucionais,II.a,Capacidade-chave Atividades ou práticas,,,10.,"A pontuação obtida nesta capacidade-chave é calculada de maneira relativa de acordo com as entidades que fazem parte da categoria. As pontuações indicadas são referenciais neste caso. Para conhecer detalhes, consulte o documento metodológico. Apenas se responder uma ou mais iniciativas na pergunta anterior. ver glossário pág.",10.,"A pontuação obtida nesta capacidade-chave é calculada de maneira relativa de acordo com as entidades que fazem parte da categoria. As pontuações indicadas são referenciais neste caso. Para conhecer detalhes, consulte o documento metodológico. Apenas se responder uma ou mais iniciativas na pergunta anterior. ver glossário pág.",Questão,4,,,
I,Dimensão Recursos institucionais,II.a,Capacidade-chave Atividades ou práticas,,,18,--- PÁGINA 18 ---,18,--- PÁGINA 18 ---,Questão,4,,,
I,Dimensão Recursos institucionais,II.a,Capacidade-chave Atividades ou práticas,,,18,PRÁTICAS E PROCESSOS INÍCIO DO BLOCO DE PERGUNTAS QUE SE REPETE PARA CADA INICIATIVA DE INOVAÇÃO MENCIONADA NA PERGUNTA 20.1. Este bloco se repete conforme o número de iniciativas declaradas. Iniciativa nº 1,18,PRÁTICAS E PROCESSOS INÍCIO DO BLOCO DE PERGUNTAS QUE SE REPETE PARA CADA INICIATIVA DE INOVAÇÃO MENCIONADA NA PERGUNTA 20.1. Este bloco se repete conforme o número de iniciativas declaradas. Iniciativa nº 1,Questão,4,0.6,,Bloco que se repete para cada iniciativa declarada na pergunta 18 (uma vez por iniciativa).
I,Dimensão Recursos institucionais,II.a,Capacidade-chave Atividades ou práticas,,,0,"Variáveis base Em relação à iniciativa [inserir nome], qual foi o problema inicial que se buscou abordar mediante um processo de inovação? pontuação máxima Máximo de 3000 caracteres.",0,"Variáveis base Em relação à iniciativa [inserir nome], qual foi o problema inicial que se buscou abordar mediante um processo de inovação? pontuação máxima Máximo de 3000 caracteres.",Questão,4,,Texto livre,Redija a resposta em texto livre com no máximo 3000 caracteres. Anexe a Informação Adicional Necessária (IAN) que respalde a resposta.
I,Dimensão Recursos institucionais,II.a,Capacidade-chave Atividades ou práticas,,,1.5,"Em relação à iniciativa [inserir nome], quais dos seguintes atores estiveram envolvidos na identificação do problema inicial? A. Pessoas usuárias/beneficiárias. B. As pessoas que trabalham na entidade. C. A autoridade do serviço. Que cargo? D. Outra instituição pública. E. Outra instituição fora do Estado. F. Outro(s). Qual(is)?",1.5,"Em relação à iniciativa [inserir nome], quais dos seguintes atores estiveram envolvidos na identificação do problema inicial? A. Pessoas usuárias/beneficiárias. B. As pessoas que trabalham na entidade. C. A autoridade do serviço. Que cargo? D. Outra instituição pública. E. Outra instituição fora do Estado. F. Outro(s). Qual(is)?",Questão,4,,Resposta única,Responda para cada iniciativa declarada na pergunta 20.1 (bloco repetitivo).
I,Dimensão Recursos institucionais,II.a,Capacidade-chave Atividades ou práticas,,,0,Marque todas as opções correspondentes.,0,Marque todas as opções correspondentes.,Questão,4,1.5,,
