sistema,ano,dimensao_id_original,dimensao_padrao,subdimensao,questao,elemento,nivel,tipo_elemento,texto_completo,pontuacao_maxima_dimensao,pontuacao_maxima_capacidade_chave,nome_variavel,numero_questao,respuesta,pontuacao_maxima_questao,pontuacao_item
chile,2025,I,recursos_institucionais,Talento humano,"Do orçamento executado em capacitações durante 2024, quanto correspondeu a capacitações em inovação?","Do orçamento executado em capacitações durante 2024, quanto correspondeu a capacitações em inovação?",4,Questão,"Talento humano Do orçamento executado em capacitações durante 2024, quanto correspondeu a capacitações em inovação? Do orçamento executado em capacitações durante 2024, quanto correspondeu a capacitações em inovação?",20,6.0,Capacitação em inovação,3.4,Se respondeu que sim a pergunta 3. Respuesta numérica.,1,
chile,2025,I,recursos_institucionais,Talento humano,O Plano Anual de Capacitação 2025 da instituição inclui capacitações em inovação?,O Plano Anual de Capacitação 2025 da instituição inclui capacitações em inovação?,4,Questão,Talento humano O Plano Anual de Capacitação 2025 da instituição inclui capacitações em inovação? O Plano Anual de Capacitação 2025 da instituição inclui capacitações em inovação?,20,6.0,Capacitação em inovação,4,Resposta única. A. Sim; B. Não,05; 0,
chile,2025,I,recursos_institucionais,Talento humano,"Em relação ao último Plano Anual de Capacitação, de onde surgiram principalmente os assuntos que exigiam capacitação? Marque todas as opções correspondentes.","Em relação ao último Plano Anual de Capacitação, de onde surgiram principalmente os assuntos que exigiam capacitação? Marque todas as opções correspondentes.",4,Questão,"Talento humano Em relação ao último Plano Anual de Capacitação, de onde surgiram principalmente os assuntos que exigiam capacitação? Marque todas as opções correspondentes. Em relação ao último Plano Anual de Capacitação, de onde surgiram principalmente os assuntos que exigiam capacitação? Marque todas as opções correspondentes.",20,6.0,Capacitação em inovação,4.1,,,
chile,2025,I,recursos_institucionais,Marco Institucional,"Durante o período medido, existiram na instituição instâncias de trabalho colaborativo sistemático entre duas ou mais áreas funcionais para o desenvolvimento da inovação?","Durante o período medido, existiram na instituição instâncias de trabalho colaborativo sistemático entre duas ou mais áreas funcionais para o desenvolvimento da inovação?",4,Questão,"Marco Institucional Durante o período medido, existiram na instituição instâncias de trabalho colaborativo sistemático entre duas ou mais áreas funcionais para o desenvolvimento da inovação? Durante o período medido, existiram na instituição instâncias de trabalho colaborativo sistemático entre duas ou mais áreas funcionais para o desenvolvimento da inovação?",20,2.0,Redes internas de colaboração,5,Resposta única. A. Sim; B. Não (Ir para a questão 6),0,
chile,2025,I,recursos_institucionais,Marco Institucional,Quais eram os objetivos dessas instâncias de colaboração interna? Marque todas as opções correspondentes.,Quais eram os objetivos dessas instâncias de colaboração interna? Marque todas as opções correspondentes.,4,Questão,Marco Institucional Quais eram os objetivos dessas instâncias de colaboração interna? Marque todas as opções correspondentes. Quais eram os objetivos dessas instâncias de colaboração interna? Marque todas as opções correspondentes.,20,2.0,Redes internas de colaboração,5.1,"Marque todas las que correspondan.
A. Desarrollo de iniciativas de innovación.
B. Gestión de la innovación institucional.
C. Cultura y Gestión del cambio.
D. Otro(s) ¿Cuál(es)?",0.75,
chile,2025,I,recursos_institucionais,Marco Institucional,"Durante o período medido, a instituição utilizou plataformas que permitiam o trabalho colaborativo on-line?","Durante o período medido, a instituição utilizou plataformas que permitiam o trabalho colaborativo on-line?",4,Questão,"Marco Institucional Durante o período medido, a instituição utilizou plataformas que permitiam o trabalho colaborativo on-line? Durante o período medido, a instituição utilizou plataformas que permitiam o trabalho colaborativo on-line?",20,2.0,Redes internas de colaboração,6,Resposta única. A. Sim; B. Não (Ir para a questão 7),0.1,sim: 0.1; não 0
chile,2025,I,recursos_institucionais,Marco Institucional,Selecione as plataformas que a instituição utilizou com maior frequência para o trabalho colaborativo. Marque todas as opções correspondentes.,Selecione as plataformas que a instituição utilizou com maior frequência para o trabalho colaborativo. Marque todas as opções correspondentes.,4,Questão,Marco Institucional Selecione as plataformas que a instituição utilizou com maior frequência para o trabalho colaborativo. Marque todas as opções correspondentes. Selecione as plataformas que a instituição utilizou com maior frequência para o trabalho colaborativo. Marque todas as opções correspondentes.,20,2.0,Redes internas de colaboração,6.1,"Marque todas las que correspondan.
A. Teams.
B. Dropbox.
C. Google Docs.
D. Mural o Miró.
E. Onedrive.
F. Otra(s) ¿Cuál(es)?",0,0
chile,2025,I,recursos_institucionais,Marco Institucional,"Durante o período medido, quais dos seguintes mecanismos ou ações institucionais sua instituição utilizou para promover a inovação entre suas funcionárias e funcionários?","Durante o período medido, quais dos seguintes mecanismos ou ações institucionais sua instituição utilizou para promover a inovação entre suas funcionárias e funcionários?",4,Questão,"Marco Institucional Durante o período medido, quais dos seguintes mecanismos ou ações institucionais sua instituição utilizou para promover a inovação entre suas funcionárias e funcionários? Durante o período medido, quais dos seguintes mecanismos ou ações institucionais sua instituição utilizou para promover a inovação entre suas funcionárias e funcionários?",20,2.0,Promoção da Inovação,7,"Marque todas as opções correspondentes. A. Prêmios ou reconhecimentos a equipes ou pessoas por iniciativas inovadoras. B. Fundos ou orçamentos internos para desenvolver iniciativas de inovação. C. Chamadas internas abertas para participar de projetos de inovação. D. Canais institucionais para compartilhar aprendizados ou experiências de inovação (intranet, boletins, jornadas etc.). E. Espaços ou metodologias participativas para propor melhorias ou soluções (ex.: caixa de ideias, laboratórios, oficinas). F. Instancias formais de colaboração internas orientadas a inovação (mesas, comites, redes internas). G. Outros? Quais? H. Não utiliza ações institucionais desse tipo.",0,
chile,2025,I,recursos_institucionais,Marco Institucional,"Durante o período medido, a instituição publicou dados abertos?","Durante o período medido, a instituição publicou dados abertos?",4,Questão,"Marco Institucional Durante o período medido, a instituição publicou dados abertos? Durante o período medido, a instituição publicou dados abertos?",20,2.0,Dados abertos,8,Resposta única. A. Sim; B. Não (Ir para a questão 9),0,
chile,2025,I,recursos_institucionais,Marco Institucional,Essas publicações de dados abertos foram realizadas em portal próprio ou no dados.gob.cl?,Essas publicações de dados abertos foram realizadas em portal próprio ou no dados.gob.cl?,4,Questão,Marco Institucional Essas publicações de dados abertos foram realizadas em portal próprio ou no dados.gob.cl? Essas publicações de dados abertos foram realizadas em portal próprio ou no dados.gob.cl?,20,2.0,Dados abertos,8.1,Marque todas as opções correspondentes. A. Em portal próprio. B. Em datos.gob.cl,0.4,02;02
chile,2025,I,recursos_institucionais,Marco Institucional,Em quais formatos esses dados abertos foram publicados?,Em quais formatos esses dados abertos foram publicados?,4,Questão,Marco Institucional Em quais formatos esses dados abertos foram publicados? Em quais formatos esses dados abertos foram publicados?,20,2.0,Dados abertos,8.2,"Se respondeu que sim a pergunta 8. A. Formato de lectura (XML, PDF, HTML).
B. Formato bases de datos procesables (CSV, JSON, DTA, otros).
C. Formato multimedia (videos, imágenes, sonidos).
D. Otro(s) ¿Cu",0.4,0.1; 0.2; 0.1; 0
chile,2025,I,recursos_institucionais,Marco Institucional,"Durante o período medido, existiu na instituição uma área responsável pela gestão de dados abertos?","Durante o período medido, existiu na instituição uma área responsável pela gestão de dados abertos?",4,Questão,"Marco Institucional Durante o período medido, existiu na instituição uma área responsável pela gestão de dados abertos? Durante o período medido, existiu na instituição uma área responsável pela gestão de dados abertos?",20,2.0,Dados abertos,8.3,"Se respondeu que sim a pergunta 8. puesta única.
A. Sí, su función incluía identificar datos e información para mejorar la
eficiencia y la toma de decisiones estratégicas de la entidad.
B. Sí, pero su función sólo consideraba la publicación de datos en formato
abiertos y/o transparencia.
C. No",0.2,
chile,2025,I,recursos_institucionais,Marco Institucional,"Durante o período medido, a instituição realizou ações para se comunicar e receber feedback das pessoas ou organizações que utilizaram seus dados abertos?","Durante o período medido, a instituição realizou ações para se comunicar e receber feedback das pessoas ou organizações que utilizaram seus dados abertos?",4,Questão,"Marco Institucional Durante o período medido, a instituição realizou ações para se comunicar e receber feedback das pessoas ou organizações que utilizaram seus dados abertos? Durante o período medido, a instituição realizou ações para se comunicar e receber feedback das pessoas ou organizações que utilizaram seus dados abertos?",20,2.0,Dados abertos,8.4,Se respondeu que sim a pergunta 8. A. Sim; B. Não,0.15,sim: 0.15; não 0
chile,2025,I,recursos_institucionais,Recursos Digitais,"Durante o período medido, a instituição trabalhava com pelo menos uma tecnologia “Open Source” ou “Código Aberto”?","Durante o período medido, a instituição trabalhava com pelo menos uma tecnologia “Open Source” ou “Código Aberto”?",4,Questão,"Recursos Digitais Durante o período medido, a instituição trabalhava com pelo menos uma tecnologia “Open Source” ou “Código Aberto”? Durante o período medido, a instituição trabalhava com pelo menos uma tecnologia “Open Source” ou “Código Aberto”?",20,4.0,TIC´S,9,Resposta única. A. Sim; B. Não,0.65,sim: 0.65; não 0
chile,2025,I,recursos_institucionais,Recursos Digitais,"Durante o período medido, a instituição tinha ClaveÚnica como mecanismo de autenticação utilizado pelas pessoas para acessar serviços em quaisquer de seus meios ou canais de atendimento?","Durante o período medido, a instituição tinha ClaveÚnica como mecanismo de autenticação utilizado pelas pessoas para acessar serviços em quaisquer de seus meios ou canais de atendimento?",4,Questão,"Recursos Digitais Durante o período medido, a instituição tinha ClaveÚnica como mecanismo de autenticação utilizado pelas pessoas para acessar serviços em quaisquer de seus meios ou canais de atendimento? Durante o período medido, a instituição tinha ClaveÚnica como mecanismo de autenticação utilizado pelas pessoas para acessar serviços em quaisquer de seus meios ou canais de atendimento?",20,4.0,TIC´S,9A,Resposta única. A. Sim; B. Não,0.38,sim: 0.38; não 0
chile,2025,I,recursos_institucionais,Recursos Digitais,"Durante o período medido, a instituição tinha identificados seus ativos de informação?","Durante o período medido, a instituição tinha identificados seus ativos de informação?",4,Questão,"Recursos Digitais Durante o período medido, a instituição tinha identificados seus ativos de informação? Durante o período medido, a instituição tinha identificados seus ativos de informação?",20,4.0,TIC´S,10,Resposta única. A. Sim; B. Não,0.4,sim: 0.40; não 0
chile,2025,I,recursos_institucionais,Recursos Digitais,"Durante o período medido, sua instituição contou com um software especializado para apoiar alguma das seguintes funções? Marque todas as opções correspondentes.","Durante o período medido, sua instituição contou com um software especializado para apoiar alguma das seguintes funções? Marque todas as opções correspondentes.",4,Questão,"Recursos Digitais Durante o período medido, sua instituição contou com um software especializado para apoiar alguma das seguintes funções? Marque todas as opções correspondentes. Durante o período medido, sua instituição contou com um software especializado para apoiar alguma das seguintes funções? Marque todas as opções correspondentes.",20,4.0,TIC´S,11,"A. Gestão documental. B. Gestão de inventário e ativos fixos. C. Gestão de pessoas (assiduidade, licenças, remunerações). D. Gestão financeira (arrecadação/tesouraria/contabilidade). E. Gestão de compras e aquisições. F. Gestão de clientes/usuários (CRM). G. Digitalização de processos (BPMS). H. Ofimática (processador de texto, planilha etc.). I. Repositorio documental. J. Outros (as) especifique as funções. K. Nenhuma das anteriores. (Se marcar essa não é possível marcar as demais)",0,
chile,2025,I,recursos_institucionais,Recursos Digitais,"Quantidade de sistemas que possuem considerando gestão de pessoas, gestão de clientes/usuários (CRM), digitalização de processos (BPMS) e ofimática.","Quantidade de sistemas que possuem considerando gestão de pessoas, gestão de clientes/usuários (CRM), digitalização de processos (BPMS) e ofimática.",4,Questão,"Recursos Digitais Quantidade de sistemas que possuem considerando gestão de pessoas, gestão de clientes/usuários (CRM), digitalização de processos (BPMS) e ofimática. Quantidade de sistemas que possuem considerando gestão de pessoas, gestão de clientes/usuários (CRM), digitalização de processos (BPMS) e ofimática.",20,4.0,TIC´S,11A,,,
chile,2025,I,recursos_institucionais,Recursos Digitais,Quantas das ferramentas indicadas acima eram fornecidas pela instituição a partir de hospedagem própria ou mista?,Quantas das ferramentas indicadas acima eram fornecidas pela instituição a partir de hospedagem própria ou mista?,4,Questão,Recursos Digitais Quantas das ferramentas indicadas acima eram fornecidas pela instituição a partir de hospedagem própria ou mista? Quantas das ferramentas indicadas acima eram fornecidas pela instituição a partir de hospedagem própria ou mista?,20,4.0,TIC´S,11.B,,,
chile,2025,I,recursos_institucionais,Recursos Digitais,Quais dos seguintes lineamentos e/ou políticas são utilizados na sua instituição?,Quais dos seguintes lineamentos e/ou políticas são utilizados na sua instituição?,4,Questão,Recursos Digitais Quais dos seguintes lineamentos e/ou políticas são utilizados na sua instituição? Quais dos seguintes lineamentos e/ou políticas são utilizados na sua instituição?,20,4.0,TIC´S,12,Marque todas as opções correspondentes. A. Política de Segurança da Informação. B. Política de Cibersegurança. C. Processos associados à Segurança da Informação. D. Processos associados à Cibersegurança. E. Procedimentos associados à Segurança da Informação. F. Procedimentos associados à Cibersegurança. G. Plano de continuidade de negócios (BCP) para seus processos e produtos estratégicos. H. Plano de recuperação de desastres (DRP) para seus processos e produtos estratégicos. I. Nenhum dos anteriores.,0.82,"0.1025
0.1025
0.1025
0.1025
0.1025
0.1025
0.1025
0.1025
0"
chile,2025,I,recursos_institucionais,Recursos Digitais,"Durante o período medido, a instituição contava com um plano de ação e/ou estratégia de transformação digital preparada para a aplicação da Lei de Transformação Digital (LDT)?","Durante o período medido, a instituição contava com um plano de ação e/ou estratégia de transformação digital preparada para a aplicação da Lei de Transformação Digital (LDT)?",4,Questão,"Recursos Digitais Durante o período medido, a instituição contava com um plano de ação e/ou estratégia de transformação digital preparada para a aplicação da Lei de Transformação Digital (LDT)? Durante o período medido, a instituição contava com um plano de ação e/ou estratégia de transformação digital preparada para a aplicação da Lei de Transformação Digital (LDT)?",20,4.0,Serviços Online,13,Resposta única. A. Sim; B. Não (Ir para a questão 14),0.20,sim: 0.20; não 0
chile,2025,I,recursos_institucionais,Recursos Digitais,Quais são os eixos de trabalho da estratégia de transformação digital nos quais a instituição trabalhou durante o período medido?,Quais são os eixos de trabalho da estratégia de transformação digital nos quais a instituição trabalhou durante o período medido?,4,Questão,Recursos Digitais Quais são os eixos de trabalho da estratégia de transformação digital nos quais a instituição trabalhou durante o período medido? Quais são os eixos de trabalho da estratégia de transformação digital nos quais a instituição trabalhou durante o período medido?,20,4.0,Serviços Online,13.1,"Marque todas as opções correspondentes. A. Identificação de procedimentos administrativos e trâmites. B. Envio e recepção de comunicações oficiais. C. Gestão documental: documentos e expediente eletrônico. D. Interoperabilidade: intercâmbio de dados e informação entre instituições. E. Autenticação: ClaveÚnica e/ou chave tributária. F. Qualidade das plataformas eletrônicas: catálogo, plano de melhoria etc. G. Segurança da informação e cibersegurança das plataformas. H. Redesenho e digitalização de procedimentos administrativos. I Notificações eletrônicas. J. Estratégias para fazer a Web acessível para pessoas com deficiência. K. Outros (s)? Quais?",0.20,
chile,2025,I,recursos_institucionais,Recursos Digitais,Qual porcentagem de procedimentos administrativos em suporte eletrônico foi reportada pela instituição no Catálogo de Procedimentos Administrativos e outras Tramitações (CPAT) em 31 de maio de 2025?,Qual porcentagem de procedimentos administrativos em suporte eletrônico foi reportada pela instituição no Catálogo de Procedimentos Administrativos e outras Tramitações (CPAT) em 31 de maio de 2025?,4,Questão,Recursos Digitais Qual porcentagem de procedimentos administrativos em suporte eletrônico foi reportada pela instituição no Catálogo de Procedimentos Administrativos e outras Tramitações (CPAT) em 31 de maio de 2025? Qual porcentagem de procedimentos administrativos em suporte eletrônico foi reportada pela instituição no Catálogo de Procedimentos Administrativos e outras Tramitações (CPAT) em 31 de maio de 2025?,20,4.0,Serviços Online,13A,Respuesta numérica. Levantamento administrativo.,0.35,
chile,2025,I,recursos_institucionais,Recursos Digitais,"Durante o período medido, quais atividades a instituição realizava habitualmente para o desenho e/ou desenvolvimento de seus serviços digitais?","Durante o período medido, quais atividades a instituição realizava habitualmente para o desenho e/ou desenvolvimento de seus serviços digitais?",4,Questão,"Recursos Digitais Durante o período medido, quais atividades a instituição realizava habitualmente para o desenho e/ou desenvolvimento de seus serviços digitais? Durante o período medido, quais atividades a instituição realizava habitualmente para o desenho e/ou desenvolvimento de seus serviços digitais?",20,4.0,Serviços Online,14,"Marque todas as opções correspondentes.  A. Auditorias de acessibilidade. B. Pesquisa qualitativa (por exemplo, entrevistas, focus groups). C. Pesquisa quantitativa (por exemplo, utilizando ferramentas de análise web, como Google Analytics). D. Geração de protótipos e testes. E. Testes de usabilidade. F. Outra(s). Especifique: G. Nenhuma das anteriores.",0.15,
chile,2025,I,recursos_institucionais,Recursos Digitais,"Durante o período medido, a instituição realizou medições de satisfação dos usuários de seus serviços digitais?","Durante o período medido, a instituição realizou medições de satisfação dos usuários de seus serviços digitais?",4,Questão,"Recursos Digitais Durante o período medido, a instituição realizou medições de satisfação dos usuários de seus serviços digitais? Durante o período medido, a instituição realizou medições de satisfação dos usuários de seus serviços digitais?",20,4.0,Serviços Online,15,Resposta única. A. Sim; B. Não (Ir para a questão 16),0.2,sim: 0.2; não 0
chile,2025,I,recursos_institucionais,Recursos Digitais,¿En qué medida aplicó la medición de satisfacción usuaria de sus servicios digitales?,¿En qué medida aplicó la medición de satisfacción usuaria de sus servicios digitales?,4,Questão,Recursos Digitais ¿En qué medida aplicó la medición de satisfacción usuaria de sus servicios digitales? ¿En qué medida aplicó la medición de satisfacción usuaria de sus servicios digitales?,20,4.0,Serviços Online,15.1,"Respuesta única.
A. En todos sus servicios digitales.
B. En algún(os) de sus servicios digitales.",0,
chile,2025,I,recursos_institucionais,Recursos Digitais,Para que a instituição utiliza a informação obtida das medições de satisfação usuária?,Para que a instituição utiliza a informação obtida das medições de satisfação usuária?,4,Questão,Recursos Digitais Para que a instituição utiliza a informação obtida das medições de satisfação usuária? Para que a instituição utiliza a informação obtida das medições de satisfação usuária?,20,4.0,Serviços Online,15.2,"Marque todas as opções correspondentes.  A. Desenho de novos serviços. B. Melhoria contínua. C. Relato para outras áreas da instituição. D. Análise de demanda (por exemplo, para identificar necessidades não atendidas, lacunas de cobertura ou priorizar serviços conforme os resultados de satisfação). E. Outro. Especifique:",0.35,
chile,2025,I,recursos_institucionais,Recursos Digitais,"Durante el periodo medido, ¿la institución utilizó alguno de los siguientes tipos de aplicaciones basadas en Inteligencia Artificial (IA) en sus procesos internos o en la entrega de servicios a la ciudadanía?","Durante el periodo medido, ¿la institución utilizó alguno de los siguientes tipos de aplicaciones basadas en Inteligencia Artificial (IA) en sus procesos internos o en la entrega de servicios a la ciudadanía?",4,Questão,"Recursos Digitais Durante el periodo medido, ¿la institución utilizó alguno de los siguientes tipos de aplicaciones basadas en Inteligencia Artificial (IA) en sus procesos internos o en la entrega de servicios a la ciudadanía? Durante el periodo medido, ¿la institución utilizó alguno de los siguientes tipos de aplicaciones basadas en Inteligencia Artificial (IA) en sus procesos internos o en la entrega de servicios a la ciudadanía?",20,4.0,Uso de IA,16,"Marque todas as opções correspondentes. A. Assistentes virtuais ou chatbots baseados em IA para interagir com pessoas usuárias. B. Processamento automatizado de texto ou dados por IA. C. Automação de processos com decisões inteligentes. D. Modelos preditivos ou de classificação para antecipar decisões institucionais. E. Detecção automatizada de fraudes, inconsistências ou anomalias. F. Algoritmos de recomendação de serviços para pessoas usuárias. G. Outro(s). Qual(is)? H. Não utilizou ferramentas de IA durante este período. Se marcar esta opção, não é possível assinalar as demais.",0,
chile,2025,I,recursos_institucionais,Estratégia e governança,"Durante o período medido, existia uma governança institucional dedicada especificamente a desenvolver ou gerir inovação dentro da instituição?","Durante o período medido, existia uma governança institucional dedicada especificamente a desenvolver ou gerir inovação dentro da instituição?",4,Questão,"Estratégia e governança Durante o período medido, existia uma governança institucional dedicada especificamente a desenvolver ou gerir inovação dentro da instituição? Durante o período medido, existia uma governança institucional dedicada especificamente a desenvolver ou gerir inovação dentro da instituição?",20,8.0,area de inovação,17,Resposta única. A. Sim; B. Não (Ir para a questão 18),1,
chile,2025,I,recursos_institucionais,Estratégia e governança,Qual dos seguintes tipos de governança para a inovação estava vigente na instituição nesse período?,Qual dos seguintes tipos de governança para a inovação estava vigente na instituição nesse período?,4,Questão,Estratégia e governança Qual dos seguintes tipos de governança para a inovação estava vigente na instituição nesse período? Qual dos seguintes tipos de governança para a inovação estava vigente na instituição nesse período?,20,8.0,area de inovação,17.1,"Resposta única. A. Departamento de Innovación.
B. División de Innovación.
C. Oficina de Innovación.
D. Unidad de Innovación.
E. Comité de Innovación.
F. Otra. Especifique:",0.6,0.6
chile,2025,I,recursos_institucionais,Estratégia e governança,De qual subdireção/subdepartamento/departamento dependia a governança mencionada?,De qual subdireção/subdepartamento/departamento dependia a governança mencionada?,4,Questão,Estratégia e governança De qual subdireção/subdepartamento/departamento dependia a governança mencionada? De qual subdireção/subdepartamento/departamento dependia a governança mencionada?,20,8.0,area de inovação,17.2,Se respondeu que sim a pergunta 17. Si es más de una señale la depedencia específica de cada una. Máximo 3000 caracteres.,0,0
chile,2025,I,recursos_institucionais,Estratégia e governança,Qual é o orçamento disponível para a governança de inovação durante o ano de 2025?,Qual é o orçamento disponível para a governança de inovação durante o ano de 2025?,4,Questão,Estratégia e governança Qual é o orçamento disponível para a governança de inovação durante o ano de 2025? Qual é o orçamento disponível para a governança de inovação durante o ano de 2025?,20,8.0,area de inovação,17.3,Se respondeu que sim a pergunta 17. Resposta númerica.,0.4,0.4
chile,2025,I,recursos_institucionais,Estratégia e governança,A dependência da governança à qual se faz referência era transversal?,A dependência da governança à qual se faz referência era transversal?,4,Questão,Estratégia e governança A dependência da governança à qual se faz referência era transversal? A dependência da governança à qual se faz referência era transversal?,20,8.0,area de inovação,17A,"Proviene de la respuesta entregada en la pregunta 17.2 por la institución. Levantamiento
administrativo.
A. Sí, completamente.
B. Sí, parcialmente.
C. No.",1,1; 0.7; 0
chile,2025,I,recursos_institucionais,Estratégia e governança,Qual é o orçamento inicial total da instituição para o ano de 2025?,Qual é o orçamento inicial total da instituição para o ano de 2025?,4,Questão,Estratégia e governança Qual é o orçamento inicial total da instituição para o ano de 2025? Qual é o orçamento inicial total da instituição para o ano de 2025?,20,8.0,Inovação em objetivos estratégicos,17B,Resposta númerica. Levantamento administrativo.,0,0
